ProbeID,AR0278_02,AR0278_03,AR0278_04,AR0278_05,AR0278_06,AR0278_07,AR0278_08,AR0278_09,AR0278_10,AR0278_11,AR0278_12,AR0278_13,AR0278_14,AR0278_15,AR0278_16
A_24_P66027,204,229.6,198.6,336.3,1900.6,1169.2,604.6,5184.5,2710.5,739.4,10074,8066.5,2105.6,15250.7,4017.9
A_32_P77178,98.8,135.5,135.2,95.6,218.8,157.5,268.2,306.8,127.2,242,312,295.8,298.5,315.5,143.4
A_23_P212522,1054.8,1190,935.8,763.1,505.7,448.4,506.7,367.7,395.1,802.8,674.2,674.2,841.1,1096,355.1
A_24_P934473,26.7,23.9,18.1,31.3,26.3,8.6,37,21.5,10.4,48.9,31.5,60.7,46.3,41.2,22.2
A_24_P9671,14945.2,15361.8,15319.2,22024.3,36670.4,30990.9,27614.6,46267,18342.4,24921.5,47892.9,27064.5,29078.7,43962.3,25174.6
A_32_P29551,16.2,17.5,19.6,37,28.7,23.2,34.3,39.4,38.2,21.4,50.7,218.1,16.8,10.3,307.2
A_24_P801451,251.6,282.9,230.7,175.8,147.4,65.5,158.7,139.5,96.2,239.7,180.8,287.4,232.9,300.5,556.1
A_32_P30710,55105,51378.4,59706.9,56233.3,59572.8,93782.1,51850.5,43103,85994.4,39594.1,34710.8,71055.7,43885.9,37069.5,64181.3
A_32_P89523,8.2,24.1,8.4,18,14.7,168.8,12.3,16.5,107.5,11.3,13.3,106.9,9.5,7.1,130
A_24_P704878,5.1,16.6,6.8,21.2,29.1,61.3,23.5,17.5,30.8,18.7,10.9,13.7,5.2,4.8,11.6
A_32_P86028,28508,28941,31227.9,27939.8,28520.7,46703.5,26713.9,22963.3,56288.8,21145.5,16200.5,45870.7,18332.3,17615.2,44171.8
A_24_P470079,13.1,21,15,29.7,27.8,50.9,27.1,21.9,135.7,33.2,28.6,364.9,15,11.3,381.9
A_23_P65830,2123.6,1936.6,2146.2,1830.8,1455.1,1274.6,1710.9,1245.1,950.9,1612.8,1314.9,1387,1979.1,1892.8,1920
A_23_P109143,41594.3,43087,49942.3,31289.9,37808.8,51194.6,28512.1,28340.3,49546,27215.9,27871.2,30198.6,30043.7,27100.8,15738
A_24_P595567,258.7,204.7,279.3,187.3,186.4,103.5,168,111.5,43.1,186.9,184.6,86.7,345.7,195.7,89.4
A_24_P391591,290.5,297.4,212.4,289.7,190.2,22,280.3,93.9,27.8,434.2,222.5,575.4,293.7,167.4,209.5
A_24_P799245,5,5.7,3.9,3.6,3.4,5.5,2.5,3.7,6.8,3.7,3.1,13.4,5,4.6,11.3
A_24_P932757,5,5.7,3.9,3.6,3.4,5.5,2.5,3.7,6.8,3.7,3.1,13.3,5,4.6,11.2
A_24_P835500,6064.2,5086.7,5308.1,5588.7,7822.7,4340.5,4775.6,5876.1,1789.6,3297.3,3157.8,1962.7,4581,5053.7,5504.3
A_23_P54340,4.9,5.6,3.9,6.7,3.7,5.5,2.6,3.8,7.6,7.3,5.7,21.2,5,4.6,34.4